event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2019-10-04T08:30:00-04:00,United States,Balance of Trade,balance of trade,AUG,$-54.9B,$-54B,$-54.5B,$-54.3B,,3,
2019-10-04T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,SEP,136K,168K,145K,165K,®,3,
2019-10-10T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,SEP,2.4%,2.4%,2.4%,2.4%,,3,
2019-10-10T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,SEP,1.7%,1.7%,1.8%,1.9%,,3,
2019-10-16T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,SEP,-0.3%,0.6%,0.3%,0.3%,®,3,
2019-10-24T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,SEP,-1.1%,0.3%,-0.8%,-0.6%,®,3,
2019-10-31T08:30:00-04:00,United States,Personal Income MoM,personal income,SEP,0.3%,0.5%,0.3%,0.3%,®,3,
2019-10-31T08:30:00-04:00,United States,Personal Spending MoM,personal spending,SEP,0.2%,0.2%,0.2%,0.2%,®,3,
