event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2024-05-01T10:00:00-04:00,United States,ISM Manufacturing PMI,business confidence,APR,49.2,50.3,50.0,49.9,,3,
2024-05-01T10:00:00-04:00,United States,JOLTs Job Openings,job offers,MAR,8.488M,8.813M,8.69M,8.7M,®,3,
2024-05-01T14:00:00-04:00,United States,Fed Interest Rate Decision,interest rate,,5.5%,5.5%,5.5%,5.5%,,3,
2024-05-01T14:30:00-04:00,United States,Fed Press Conference,interest rate,,,,,,,3,
2024-05-03T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,APR,175K,315K,243K,238K,®,3,
2024-05-03T08:30:00-04:00,United States,Unemployment Rate,unemployment rate,APR,3.9%,3.8%,3.8%,3.8%,,3,
2024-05-03T10:00:00-04:00,United States,ISM Services PMI,non manufacturing pmi,APR,49.4,51.4,52.0,51.8,,3,
2024-05-10T10:00:00-04:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,MAY,67.4,77.2,76,78,,3,
2024-05-14T08:30:00-04:00,United States,PPI MoM,producer price inflation mom,APR,0.5%,-0.1%,0.3%,0.2%,®,3,
2024-05-14T10:00:00-04:00,United States,Fed Chair Powell Speech,interest rate,,,,,,,3,
2024-05-15T08:30:00-04:00,United States,Core Inflation Rate MoM,core inflation rate mom,APR,0.3%,0.4%,0.3%,0.3%,,3,
2024-05-15T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,APR,3.6%,3.8%,3.6%,3.7%,,3,
2024-05-15T08:30:00-04:00,United States,Inflation Rate MoM,inflation rate mom,APR,0.3%,0.4%,0.4%,0.3%,,3,
2024-05-15T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,APR,3.4%,3.5%,3.4%,3.5%,,3,
2024-05-15T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,APR,0%,0.6%,0.4%,0.3%,®,3,
2024-05-16T08:30:00-04:00,United States,Building Permits Prel,building permits,APR,1.440M,1.467M,1.48M,1.465M,,3,
2024-05-19T15:30:00-04:00,United States,Fed Chair Powell Speech,interest rate,,,,,,,3,
2024-05-22T14:00:00-04:00,United States,FOMC Minutes,interest rate,,,,,,,3,
2024-05-24T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,APR,0.7%,0.8%,-0.8%,-0.5%,®,3,
2024-05-30T08:30:00-04:00,United States,GDP Growth Rate QoQ 2nd Est,gdp growth rate,Q1,1.3%,3.4%,1.3%,1.6%,,3,
2024-05-31T08:30:00-04:00,United States,Core PCE Price Index MoM,core pce price index mom,APR,0.2%,0.3%,0.3%,0.2%,,3,
2024-05-31T08:30:00-04:00,United States,Personal Income MoM,personal income,APR,0.3%,0.5%,0.3%,0.3%,,3,
2024-05-31T08:30:00-04:00,United States,Personal Spending MoM,personal spending,APR,0.2%,0.7%,0.3%,0.4%,®,3,
