event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol,source_url
2019-12-05T08:30:00-05:00,United States,Balance of Trade,balance of trade,OCT,$-47.2B,$-51.1B,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2019-12-01&end=2020-01-01
2019-12-06T08:30:00-05:00,United States,Non Farm Payrolls,non farm payrolls,NOV,266K,156K,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2019-12-01&end=2020-01-01
2019-12-11T08:30:00-05:00,United States,Core Inflation Rate YoY,core inflation rate,NOV,2.3%,2.3%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2019-12-01&end=2020-01-01
2019-12-11T08:30:00-05:00,United States,Inflation Rate YoY,inflation rate,NOV,2.1%,1.8%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2019-12-01&end=2020-01-01
2019-12-13T08:30:00-05:00,United States,Retail Sales MoM,retail sales mom,NOV,0.2%,0.4%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2019-12-01&end=2020-01-01
2019-12-20T10:00:00-05:00,United States,Personal Income MoM,personal income,NOV,0.5%,0.1%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2019-12-01&end=2020-01-01
2019-12-20T10:00:00-05:00,United States,Personal Spending MoM,personal spending,NOV,0.4%,0.3%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2019-12-01&end=2020-01-01
2019-12-23T08:30:00-05:00,United States,Durable Goods Orders MoM,durable goods orders,NOV,-2%,0.2%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2019-12-01&end=2020-01-01
