event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol,source_url
2018-04-05T08:30:00-04:00,United States,Balance of Trade,balance of trade,FEB,$-57.6B,$-56.7B,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-04-01&end=2018-05-01
2018-04-06T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,MAR,103K,326K,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-04-01&end=2018-05-01
2018-04-11T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,MAR,2.1%,1.8%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-04-01&end=2018-05-01
2018-04-11T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,MAR,2.4%,2.2%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-04-01&end=2018-05-01
2018-04-16T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,MAR,0.6%,-0.1%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-04-01&end=2018-05-01
2018-04-26T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,MAR,2.6%,3.5%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-04-01&end=2018-05-01
2018-04-30T08:30:00-04:00,United States,Personal Income MoM,personal income,MAR,0.3%,0.3%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-04-01&end=2018-05-01
2018-04-30T08:30:00-04:00,United States,Personal Spending MoM,personal spending,MAR,0.4%,0%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2018-04-01&end=2018-05-01
