event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2022-06-01T10:00:00-04:00,United States,ISM Manufacturing PMI,business confidence,MAY,56.1,55.4,,,,3,
2022-06-01T10:00:00-04:00,United States,JOLTs Job Openings,job offers,APR,11.4M,11.855M,,,®,3,
