event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2026-05-01T10:00:00-04:00,United States,ISM Manufacturing PMI,business confidence,APR,52.7,52.7,53,52.5,,3,
2026-05-05T10:00:00-04:00,United States,ISM Services PMI,non manufacturing pmi,APR,53.6,54.0,53.7,53.7,,3,
2026-05-05T10:00:00-04:00,United States,JOLTs Job Openings,job offers,MAR,6.866M,6.922M,6.84M,6.9M,®,3,
2026-05-08T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,APR,115K,185K,62K,95.0K,®,3,
2026-05-08T08:30:00-04:00,United States,Unemployment Rate,unemployment rate,APR,4.3%,4.3%,4.3%,4.3%,,3,
2026-05-08T10:00:00-04:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,MAY,48.2,49.8,49.5,50,,3,
2026-05-11T10:00:00-04:00,United States,Existing Home Sales,existing home sales,APR,4.02M,4.01M,4.05M,4.06M,®,3,
2026-05-12T08:30:00-04:00,United States,Core Inflation Rate MoM,core inflation rate mom,APR,0.4%,0.2%,0.3%,0.3%,,3,
2026-05-12T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,APR,2.8%,2.6%,2.7%,2.6%,,3,
2026-05-12T08:30:00-04:00,United States,Inflation Rate MoM,inflation rate mom,APR,0.6%,0.9%,0.6%,0.5%,,3,
2026-05-12T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,APR,3.8%,3.3%,3.7%,3.6%,,3,
2026-05-13T08:30:00-04:00,United States,PPI MoM,producer price inflation mom,APR,1.4%,0.7%,0.5%,0.4%,®,3,
2026-05-14T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,APR,0.5%,1.6%,0.5%,0.4%,®,3,
2026-05-20T14:00:00-04:00,United States,FOMC Minutes,interest rate,,,,,,,3,
2026-05-21T08:30:00-04:00,United States,Building Permits Prel,building permits,APR,1.442M,1.363M,1.39M,1.37M,,3,
2026-05-21T08:30:00-04:00,United States,Housing Starts,housing starts,APR,1.465M,1.507M,1.41M,1.45M,®,3,
2026-05-28T08:30:00-04:00,United States,Core PCE Price Index MoM,core pce price index mom,APR,0.2%,0.3%,0.3%,0.3%,,3,
2026-05-28T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,APR,7.9%,1.3%,3.5%,3.4%,®,3,
2026-05-28T08:30:00-04:00,United States,GDP Growth Rate QoQ 2nd Est,gdp growth rate,Q1,1.6%,0.5%,2.0%,2.0%,,3,
2026-05-28T08:30:00-04:00,United States,Personal Income MoM,personal income,APR,0%,0.5%,0.4%,0.5%,®,3,
2026-05-28T08:30:00-04:00,United States,Personal Spending MoM,personal spending,APR,0.5%,1%,0.5%,0.6%,®,3,
