event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2026-05-27T08:00:00-04:00,United States,Fed Logan Speech,interest rate,,,,,,,3,
2026-05-27T11:00:00-04:00,United States,MBA 30-Year Mortgage Rate,mortgage rate,MAY/22,6.65%,6.56%,,,,3,
2026-05-27T11:00:00-04:00,United States,MBA Mortgage Applications,mortgage applications,MAY/22,-8.5%,-2.3%,,,,3,
2026-05-27T11:00:00-04:00,United States,MBA Mortgage Market Index,mba mortgage market index,MAY/22,259.4,283.5,,,,3,
2026-05-27T11:00:00-04:00,United States,MBA Mortgage Refinance Index,mba mortgage refinance index,MAY/22,753.7,920.2,,,,3,
2026-05-27T11:00:00-04:00,United States,MBA Purchase Index,mba purchase index,MAY/22,169.7,170.4,,,,3,
2026-05-27T12:15:00-04:00,United States,ADP Employment Change Weekly,adp employment change weekly,,35.75K,40.75K,,,®,3,
2026-05-27T12:55:00-04:00,United States,Redbook YoY,redbook index,MAY/23,9%,8.1%,,,,3,
2026-05-27T13:20:00-04:00,United States,Ny Fed Bill Purchases 1 To 4 Months,calendar,,,,$6.576 billion,,,3,
2026-05-27T14:00:00-04:00,United States,Richmond Fed Manufacturing Index,richmond fed manufacturing index,MAY,13,3,,,,3,
2026-05-27T14:00:00-04:00,United States,Richmond Fed Manufacturing Shipments Index,richmond fed manufacturing shipments,MAY,16,-2,,,,3,
2026-05-27T14:00:00-04:00,United States,Richmond Fed Services Revenues Index,richmond fed services index,MAY,14,9,,,,3,
2026-05-27T14:30:00-04:00,United States,Dallas Fed Services Index,dallas fed services index,MAY,-7.7,-9.9,,,,3,
2026-05-27T14:30:00-04:00,United States,Dallas Fed Services Revenues Index,dallas fed services revenues index,MAY,5.0,4.3,,,,3,
2026-05-27T15:30:00-04:00,United States,17-Week Bill Auction,17 week bill yield,,3.630%,3.590%,,,,3,
2026-05-27T15:30:00-04:00,United States,2-Year Frn Auction,calendar,,0.089%,0.103%,,,,3,
2026-05-27T17:00:00-04:00,United States,5-Year Note Auction,5 year note yield,,4.182%,3.955%,,,,3,
2026-05-27T19:55:00-04:00,United States,Fed Cook Speech,interest rate,,,,,,,3,
2026-05-27T21:30:00-04:00,United States,API Crude Oil Stock Change,api crude oil stock change,MAY/22,-2.8M,-9.1M,,,,3,
2026-05-28T00:00:00-04:00,United States,Fed Jefferson Speech,interest rate,,,,,,,3,
