event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2018-06-01T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,MAY,223K,159K,,,®,3,
2018-06-06T08:30:00-04:00,United States,Balance of Trade,balance of trade,APR,$-46.2B,$-47.2B,,,®,3,
2018-06-12T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,MAY,2.2%,2.1%,,,,3,
2018-06-12T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,MAY,2.8%,2.5%,,,,3,
2018-06-14T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,MAY,0.8%,0.4%,,,®,3,
2018-06-27T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,MAY,-0.6%,-1%,,,®,3,
2018-06-29T08:30:00-04:00,United States,Personal Income MoM,personal income,MAY,0.4%,0.2%,,,®,3,
2018-06-29T08:30:00-04:00,United States,Personal Spending MoM,personal spending,MAY,0.2%,0.5%,,,®,3,
