event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2017-02-03T08:30:00-05:00,United States,Non Farm Payrolls,non farm payrolls,JAN,227K,157K,175K,161K,®,3,
2017-02-07T08:30:00-05:00,United States,Balance of Trade,balance of trade,DEC,$-44.3B,$-45.7B,$-45B,$ -45.4B,®,3,
2017-02-15T08:30:00-05:00,United States,Core Inflation Rate YoY,core inflation rate,JAN,2.3%,2.2%,2.1%,2.1%,,3,
2017-02-15T08:30:00-05:00,United States,Inflation Rate YoY,inflation rate,JAN,2.5%,2.1%,2.4%,2.2%,,3,
2017-02-15T08:30:00-05:00,United States,Retail Sales MoM,retail sales mom,JAN,0.4%,1%,0.1%,0.3%,®,3,
2017-02-27T08:30:00-05:00,United States,Durable Goods Orders MoM,durable goods orders,JAN,1.8%,-0.8%,1.7%,1.8%,®,3,
