event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2019-06-06T08:30:00-04:00,United States,Balance of Trade,balance of trade,APR,$-50.8B,$-51.9B,$-50.7B,$-51.2B,®,3,
2019-06-07T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,MAY,75K,224K,185K,190K,®,3,
2019-06-12T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,MAY,2%,2.1%,2.1%,2.1%,,3,
2019-06-12T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,MAY,1.8%,2%,1.9%,1.9%,,3,
2019-06-14T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,MAY,0.5%,0.3%,0.6%,0.6%,®,3,
2019-06-26T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,MAY,-1.3%,-2.8%,-0.1%,0.2%,®,3,
2019-06-28T08:30:00-04:00,United States,Personal Income MoM,personal income,MAY,0.5%,0.5%,0.3%,0.3%,,3,
2019-06-28T08:30:00-04:00,United States,Personal Spending MoM,personal spending,MAY,0.4%,0.6%,0.4%,0.2%,®,3,
