event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2024-02-01T10:00:00-05:00,United States,ISM Manufacturing PMI,business confidence,JAN,49.1,47.1,47,47.6,®,3,
2024-02-02T08:30:00-05:00,United States,Non Farm Payrolls,non farm payrolls,JAN,353K,333K,180K,175.0K,®,3,
2024-02-02T08:30:00-05:00,United States,Unemployment Rate,unemployment rate,JAN,3.7%,3.7%,3.8%,3.7%,,3,
2024-02-05T10:00:00-05:00,United States,ISM Services PMI,non manufacturing pmi,JAN,53.4,50.5,52,51.7,®,3,
2024-02-13T08:30:00-05:00,United States,Core Inflation Rate MoM,core inflation rate mom,JAN,0.4%,0.3%,0.3%,0.3%,,3,
2024-02-13T08:30:00-05:00,United States,Core Inflation Rate YoY,core inflation rate,JAN,3.9%,3.9%,3.7%,3.7%,,3,
2024-02-13T08:30:00-05:00,United States,Inflation Rate MoM,inflation rate mom,JAN,0.3%,0.2%,0.2%,0.2%,,3,
2024-02-13T08:30:00-05:00,United States,Inflation Rate YoY,inflation rate,JAN,3.1%,3.4%,2.9%,3.1%,,3,
2024-02-15T08:30:00-05:00,United States,Retail Sales MoM,retail sales mom,JAN,-0.8%,0.4%,-0.1%,0.3%,®,3,
2024-02-16T08:30:00-05:00,United States,Building Permits Prel,building permits,JAN,1.47M,1.493M,1.509M,1.50M,,3,
2024-02-16T08:30:00-05:00,United States,PPI MoM,producer price inflation mom,JAN,0.3%,-0.1%,0.1%,0.1%,,3,
2024-02-16T10:00:00-05:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,FEB,79.6,79,80,79.5,,3,
2024-02-21T14:00:00-05:00,United States,FOMC Minutes,interest rate,,,,,,,3,
2024-02-27T08:30:00-05:00,United States,Durable Goods Orders MoM,durable goods orders,JAN,-6.1%,-0.3%,-4.5%,-4%,®,3,
2024-02-28T08:30:00-05:00,United States,GDP Growth Rate QoQ 2nd Est,gdp growth rate,Q4,3.2%,4.9%,3.3%,3.3%,,3,
2024-02-29T08:30:00-05:00,United States,Core PCE Price Index MoM,core pce price index mom,JAN,0.4%,0.1%,0.4%,0.3%,®,3,
2024-02-29T08:30:00-05:00,United States,Personal Income MoM,personal income,JAN,1%,0.3%,0.4%,0.3%,,3,
2024-02-29T08:30:00-05:00,United States,Personal Spending MoM,personal spending,JAN,0.2%,0.7%,0.2%,0.2%,,3,
