event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2020-04-02T08:30:00-04:00,United States,Balance of Trade,balance of trade,FEB,$-39.9B,$-45.5B,$-40B,$ -39B,®,3,
2020-04-03T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,MAR,-701K,275K,-100K,-150K,®,3,
2020-04-10T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,MAR,2.1%,2.4%,2.3%,2.3%,,3,
2020-04-10T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,MAR,1.5%,2.3%,1.6%,1.5%,,3,
2020-04-15T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,MAR,-8.7%,-0.4%,-8%,-6.5%,®,3,
2020-04-24T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,MAR,-14.4%,1.1%,-11.9%,-12%,®,3,
2020-04-30T08:30:00-04:00,United States,Personal Income MoM,personal income,MAR,-2%,0.6%,-1.5%,-1%,,3,
2020-04-30T08:30:00-04:00,United States,Personal Spending MoM,personal spending,MAR,-7.5%,0.2%,-5%,-6.3%,,3,
