event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2026-06-25T08:30:00-04:00,United States,Core PCE Price Index MoM,core pce price index mom,MAY,0.3%,0.3%,,,®,3,
2026-06-25T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,MAY,-4.5%,8.5%,,,®,3,
2026-06-25T08:30:00-04:00,United States,GDP Growth Rate QoQ Final,gdp growth rate,Q1,2.1%,0.5%,,,,3,
2026-06-25T08:30:00-04:00,United States,Personal Income MoM,personal income,MAY,0.7%,0%,,,®,3,
2026-06-25T08:30:00-04:00,United States,Personal Spending MoM,personal spending,MAY,0.7%,0.4%,,,®,3,
2026-06-25T08:30:00-04:00,United States,Chicago Fed National Activity Index,chicago fed national activity index,MAY,-0.10,0.19,,,®,3,
2026-06-25T08:30:00-04:00,United States,Durable Goods Orders Ex Transp MoM,durable goods orders ex transportation,MAY,1.3%,1.4%,,,®,3,
2026-06-25T08:30:00-04:00,United States,GDP Price Index QoQ Final,gdp deflator,Q1,3.6%,3.6%,3.5%,3.5%,,3,
2026-06-25T08:30:00-04:00,United States,Initial Jobless Claims,initial jobless claims,JUN/20,215K,227K,,,®,3,
2026-06-25T08:30:00-04:00,United States,PCE Price Index MoM,pce price index monthly change,MAY,0.4%,0.4%,,,,3,
2026-06-25T08:30:00-04:00,United States,PCE Price Index YoY,pce price index annual change,MAY,4.1%,3.8%,,,,3,
2026-06-25T08:30:00-04:00,United States,Continuing Jobless Claims,continuing jobless claims,JUN/13,1821K,1800K,,,®,3,
2026-06-25T08:30:00-04:00,United States,Core PCE Price Index YoY,core pce price index annual change,MAY,3.4%,3.3%,,,,3,
2026-06-25T08:30:00-04:00,United States,Core PCE Prices QoQ Final,core pce prices qoq,Q1,4.4%,2.7%,,,,3,
2026-06-25T08:30:00-04:00,United States,Corporate Profits QoQ Final,corporate profits,Q1,0.5%,5.7%,-0.4%,-0.4%,,3,
2026-06-25T08:30:00-04:00,United States,Durable Goods Orders ex Defense MoM,durable goods orders ex defense,MAY,-4.6%,8.4%,,,®,3,
2026-06-25T08:30:00-04:00,United States,GDP Sales QoQ Final,gdp sales qoq,Q1,1.9%,0.3%,,,,3,
2026-06-25T08:30:00-04:00,United States,Jobless Claims 4-week Average,jobless claims 4-week average,JUN/20,224.25K,223.5K,,,®,3,
2026-06-25T08:30:00-04:00,United States,Non Defense Goods Orders Ex Air,non defense capital goods orders ex aircraft,MAY,1.6%,-0.7%,,,®,3,
2026-06-25T08:30:00-04:00,United States,PCE Prices QoQ Final,pce prices qoq,Q1,4.6%,2.9%,,,,3,
2026-06-25T08:30:00-04:00,United States,Real Consumer Spending QoQ Final,real consumer spending,Q1,0.5%,1.9%,,,,3,
2026-06-25T08:30:00-04:00,United States,Real Personal Spending MoM,real personal spending mom,MAY,0.3%,0%,,,®,3,
2026-06-25T10:30:00-04:00,United States,EIA Natural Gas Stocks Change,natural gas stocks change,JUN/19,76Bcf,73Bcf,,,,3,
