event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol,source_url
2017-01-06T08:30:00-05:00,United States,Balance of Trade,balance of trade,NOV,$-45.2B,$-42.4B,$-54B,$-45B,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2017-01-01&end=2017-02-01
2017-01-06T08:30:00-05:00,United States,Non Farm Payrolls,non farm payrolls,DEC,156K,204K,178K,173K,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2017-01-01&end=2017-02-01
2017-01-13T08:30:00-05:00,United States,Retail Sales MoM,retail sales mom,DEC,0.6%,0.2%,0.4%,0.7%,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2017-01-01&end=2017-02-01
2017-01-18T08:30:00-05:00,United States,Core Inflation Rate YoY,core inflation rate,DEC,2.2%,2.1%,2.2%,2.1%,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2017-01-01&end=2017-02-01
2017-01-18T08:30:00-05:00,United States,Inflation Rate YoY,inflation rate,DEC,2.1%,1.7%,2.1%,1.9%,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2017-01-01&end=2017-02-01
2017-01-27T08:30:00-05:00,United States,Durable Goods Orders MoM,durable goods orders,DEC,-0.4%,-4.8%,2.6%,2%,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2017-01-01&end=2017-02-01
2017-01-30T08:30:00-05:00,United States,Personal Income (MoM),personal income,DEC,0.3%,0.1%,0.4%,0.4%,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2017-01-01&end=2017-02-01
2017-01-30T08:30:00-05:00,United States,Personal Spending MoM,personal spending,DEC,0.5%,0.2%,0.5%,0.5%,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2017-01-01&end=2017-02-01
