event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2026-06-01T10:00:00-04:00,United States,ISM Manufacturing PMI,business confidence,MAY,54.0,52.7,53,53,,3,
2026-06-02T10:00:00-04:00,United States,JOLTs Job Openings,job offers,APR,7.618M,6.887M,6.88M,6.8M,®,3,
2026-06-03T10:00:00-04:00,United States,ISM Services PMI,non manufacturing pmi,MAY,54.5,53.6,53.8,53,,3,
2026-06-05T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,MAY,172K,179K,85K,102.0K,®,3,
2026-06-05T08:30:00-04:00,United States,Unemployment Rate,unemployment rate,MAY,4.3%,4.3%,4.3%,4.4%,,3,
2026-06-09T10:00:00-04:00,United States,Existing Home Sales,existing home sales,MAY,4.17M,4.04M,4.07M,4.04M,®,3,
2026-06-10T08:30:00-04:00,United States,Core Inflation Rate MoM,core inflation rate mom,MAY,0.2%,0.4%,0.3%,0.3%,,3,
2026-06-10T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,MAY,2.9%,2.8%,2.9%,2.9%,,3,
2026-06-10T08:30:00-04:00,United States,Inflation Rate MoM,inflation rate mom,MAY,0.5%,0.6%,0.5%,0.4%,,3,
2026-06-10T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,MAY,4.2%,3.8%,4.2%,4.0%,,3,
2026-06-11T08:30:00-04:00,United States,PPI MoM,producer price inflation mom,MAY,1.1%,1.1%,0.7%,0.7%,®,3,
2026-06-12T10:00:00-04:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,JUN,48.9,44.8,46,46,,3,
2026-06-16T08:30:00-04:00,United States,Building Permits Prel,building permits,MAY,1.413M,1.423M,1.42M,1.41M,,3,
2026-06-16T08:30:00-04:00,United States,Housing Starts,housing starts,MAY,1.177M,1.392M,1.43M,1.44M,®,3,
2026-06-17T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,MAY,0.9%,0.4%,0.5%,0.6%,®,3,
2026-06-17T14:00:00-04:00,United States,Fed Interest Rate Decision,interest rate,,3.75%,3.75%,3.75%,3.75%,,3,
2026-06-17T14:00:00-04:00,United States,FOMC Economic Projections,interest rate,,,,,,,3,
2026-06-17T14:30:00-04:00,United States,Fed Press Conference,interest rate,,,,,,,3,
2026-06-25T08:30:00-04:00,United States,Core PCE Price Index MoM,core pce price index mom,MAY,0.3%,0.3%,0.3%,0.2%,®,3,
2026-06-25T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,MAY,-4.5%,8.5%,-4.5%,-4.0%,®,3,
2026-06-25T08:30:00-04:00,United States,GDP Growth Rate QoQ Final,gdp growth rate,Q1,2.1%,0.5%,1.6%,1.6%,,3,
2026-06-25T08:30:00-04:00,United States,Personal Income MoM,personal income,MAY,0.7%,0%,0.4%,0.3%,®,3,
2026-06-25T08:30:00-04:00,United States,Personal Spending MoM,personal spending,MAY,0.7%,0.4%,0.6%,0.7%,®,3,
2026-06-30T10:00:00-04:00,United States,JOLTs Job Openings,job offers,MAY,7.594M,7.585M,7.30M,7.4M,®,3,
