event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol,source_url
2016-11-04T08:30:00-04:00,United States,Balance of Trade,balance of trade,SEP,$-36.44B,$-40.46B,$-37.8B,$ -40B,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2016-11-01&end=2016-12-01
2016-11-04T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,OCT,161K,191K,175K,180K,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2016-11-01&end=2016-12-01
2016-11-15T09:30:00-05:00,United States,Retail Sales MoM,retail sales mom,OCT,0.8%,1%,0.6%,0.4%,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2016-11-01&end=2016-12-01
2016-11-17T09:30:00-05:00,United States,Core Inflation Rate YoY,core inflation rate,OCT,2.1%,2.2%,2.2%,2.2%,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2016-11-01&end=2016-12-01
2016-11-17T09:30:00-05:00,United States,Inflation Rate YoY,inflation rate,OCT,1.6%,1.5%,1.6%,1.5%,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2016-11-01&end=2016-12-01
2016-11-23T09:30:00-05:00,United States,Durable Goods Orders MoM,durable goods orders,OCT,4.8%,0.4%,1.5%,0.8%,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2016-11-01&end=2016-12-01
2016-11-30T09:30:00-05:00,United States,Personal Income (MoM),personal income,OCT,0.6%,0.4%,0.4%,0.3%,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2016-11-01&end=2016-12-01
2016-11-30T09:30:00-05:00,United States,Personal Spending MoM,personal spending,OCT,0.3%,0.7%,0.5%,0.4%,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2016-11-01&end=2016-12-01
