event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2023-12-01T10:00:00-05:00,United States,ISM Manufacturing PMI,business confidence,NOV,46.7,46.7,47.6,47.2,,3,
2023-12-01T11:00:00-05:00,United States,Fed Chair Powell Speech,interest rate,,,,,,,3,
2023-12-05T10:00:00-05:00,United States,ISM Services PMI,non manufacturing pmi,NOV,52.7,51.8,52,51.5,,3,
2023-12-05T10:00:00-05:00,United States,JOLTs Job Openings,job offers,OCT,8.733M,9.35M,9.3M,9.4M,®,3,
2023-12-08T08:30:00-05:00,United States,Non Farm Payrolls,non farm payrolls,NOV,199K,150K,180K,160K,,3,
2023-12-08T08:30:00-05:00,United States,Unemployment Rate,unemployment rate,NOV,3.7%,3.9%,3.9%,3.9%,,3,
2023-12-08T10:00:00-05:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,DEC,69.4,61.3,62,61.4,,3,
2023-12-12T08:30:00-05:00,United States,Core Inflation Rate MoM,core inflation rate mom,NOV,0.3%,0.2%,0.3%,0.2%,,3,
2023-12-12T08:30:00-05:00,United States,Core Inflation Rate YoY,core inflation rate,NOV,4%,4%,4%,4.0%,,3,
2023-12-12T08:30:00-05:00,United States,Inflation Rate MoM,inflation rate mom,NOV,0.1%,0%,0%,0.1%,,3,
2023-12-12T08:30:00-05:00,United States,Inflation Rate YoY,inflation rate,NOV,3.1%,3.2%,3.1%,3.1%,,3,
2023-12-13T08:30:00-05:00,United States,PPI MoM,producer price inflation mom,NOV,0%,-0.4%,0.1%,0.2%,®,3,
2023-12-13T14:00:00-05:00,United States,Fed Interest Rate Decision,interest rate,,5.5%,5.5%,5.5%,5.5%,,3,
2023-12-13T14:00:00-05:00,United States,FOMC Economic Projections,interest rate,,,,,,,3,
2023-12-13T14:30:00-05:00,United States,Fed Press Conference,interest rate,,,,,,,3,
2023-12-14T08:30:00-05:00,United States,Retail Sales MoM,retail sales mom,NOV,0.3%,-0.2%,-0.1%,-0.1%,®,3,
2023-12-19T08:30:00-05:00,United States,Building Permits Prel,building permits,NOV,1.46M,1.498M,1.470M,1.48M,,3,
2023-12-21T08:30:00-05:00,United States,GDP Growth Rate QoQ Final,gdp growth rate,Q3,4.9%,2.1%,5.2%,5.2%,,3,
2023-12-22T08:30:00-05:00,United States,Core PCE Price Index MoM,core pce price index mom,NOV,0.1%,0.1%,0.2%,0.2%,®,3,
2023-12-22T08:30:00-05:00,United States,Durable Goods Orders MoM,durable goods orders,NOV,5.4%,-5.1%,2.2%,1.8%,®,3,
2023-12-22T08:30:00-05:00,United States,Personal Income MoM,personal income,NOV,0.4%,0.3%,0.4%,0.3%,®,3,
2023-12-22T08:30:00-05:00,United States,Personal Spending MoM,personal spending,NOV,0.2%,0.1%,0.3%,0.2%,®,3,
