event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2018-10-05T08:30:00-04:00,United States,Balance of Trade,balance of trade,AUG,$-53.2B,$-50B,$-53.5B,$ -50.3B,®,3,
2018-10-05T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,SEP,134K,270K,185K,195K,®,3,
2018-10-11T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,SEP,2.2%,2.2%,2.3%,2.4%,,3,
2018-10-11T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,SEP,2.3%,2.7%,2.4%,2.7%,,3,
2018-10-15T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,SEP,0.1%,0.1%,0.6%,0.3%,,3,
2018-10-25T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,SEP,0.8%,4.6%,-1%,-1.8%,®,3,
2018-10-29T08:30:00-04:00,United States,Personal Income MoM,personal income,SEP,0.2%,0.4%,0.3%,0.4%,®,3,
2018-10-29T08:30:00-04:00,United States,Personal Spending MoM,personal spending,SEP,0.4%,0.5%,0.4%,0.4%,®,3,
