event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2020-01-03T14:00:00-05:00,United States,FOMC Minutes,interest rate,,,,,,,3,
2020-01-07T08:30:00-05:00,United States,Balance of Trade,balance of trade,NOV,$-43.1B,$-46.9B,$-43.8B,$ -43B,®,3,
2020-01-10T08:30:00-05:00,United States,Non Farm Payrolls,non farm payrolls,DEC,145K,256K,164K,165K,®,3,
2020-01-14T08:30:00-05:00,United States,Core Inflation Rate YoY,core inflation rate,DEC,2.3%,2.3%,2.3%,2.2%,,3,
2020-01-14T08:30:00-05:00,United States,Inflation Rate YoY,inflation rate,DEC,2.3%,2.1%,2.3%,2.3%,,3,
Wednesday January 15 2020,United States,Us-China Phase 1 Trade Deal Signature,calendar,,,,,,,3,
2020-01-16T08:30:00-05:00,United States,Retail Sales MoM,retail sales mom,DEC,0.3%,0.3%,0.3%,0.3%,®,3,
2020-01-28T08:30:00-05:00,United States,Durable Goods Orders MoM,durable goods orders,DEC,2.4%,-3.1%,0.4%,0.6%,®,3,
Wednesday January 29 2020,United States,Usmca Trade Deal Signature,calendar,,,,,,,3,
2020-01-31T08:30:00-05:00,United States,Personal Income MoM,personal income,DEC,0.2%,0.4%,0.3%,0.4%,®,3,
2020-01-31T08:30:00-05:00,United States,Personal Spending MoM,personal spending,DEC,0.3%,0.4%,0.3%,0.5%,,3,
