event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2026-06-30T08:55:00-04:00,United States,Redbook YoY,redbook index,JUN/27,10.5%,10%,,,,3,
2026-06-30T09:00:00-04:00,United States,S&P/Case-Shiller Home Price YoY,case shiller home price index yoy,APR,1.1%,0.9%,,,®,3,
2026-06-30T09:00:00-04:00,United States,House Price Index,housing index,APR,441.4,441.8,,,®,3,
2026-06-30T09:00:00-04:00,United States,House Price Index MoM,house price index mom,APR,-0.1%,0.2%,,,®,3,
2026-06-30T09:00:00-04:00,United States,House Price Index YoY,house price index yoy,APR,2%,1.8%,,,®,3,
2026-06-30T09:00:00-04:00,United States,S&P/Case-Shiller Home Price MoM,case shiller home price index mom,APR,1%,1.1%,,,®,3,
2026-06-30T09:45:00-04:00,United States,Chicago PMI,chicago pmi,JUN,56.7,62.7,,,,3,
2026-06-30T10:00:00-04:00,United States,JOLTs Job Openings,job offers,MAY,7.594M,7.585M,,,®,3,
2026-06-30T10:00:00-04:00,United States,Cb Consumer Confidence,calendar,JUN,91.2,90.6,94.7,94,®,3,
2026-06-30T10:00:00-04:00,United States,JOLTs Job Quits,job quits,MAY,3.065M,3.043M,,,®,3,
2026-06-30T10:30:00-04:00,United States,Dallas Fed Services Index,dallas fed services index,JUN,2.9,-7.7,,,,3,
2026-06-30T10:30:00-04:00,United States,Dallas Fed Services Revenues Index,dallas fed services revenues index,JUN,9.8,5.0,,,,3,
2026-06-30T11:30:00-04:00,United States,6-Week Bill Auction,calendar,,3.655%,3.620%,,,,3,
2026-06-30T12:00:00-04:00,United States,Quarterly Grain Stocks - Corn,grain stocks corn,JUN,5.29B,9.02B,,,,3,
2026-06-30T12:00:00-04:00,United States,Quarterly Grain Stocks - Soy,grain stocks soy,JUN,1.06B,2.10B,,,,3,
2026-06-30T12:00:00-04:00,United States,Quarterly Grain Stocks - Wheat,grain stocks wheat,JUN,0.92B,1.30B,,,,3,
2026-06-30T16:30:00-04:00,United States,API Crude Oil Stock Change,api crude oil stock change,JUN/26,-6.072M,-0.765M,,,,3,
