event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol
2021-12-01T10:00:00-05:00,United States,ISM Manufacturing PMI,business confidence,NOV,61.1,60.8,61,61.2,,3,
2021-12-03T08:30:00-05:00,United States,Non Farm Payrolls,non farm payrolls,NOV,210K,546K,550K,550K,®,3,
2021-12-03T10:00:00-05:00,United States,ISM Non-Manufacturing PMI,non manufacturing pmi,NOV,69.1,66.7,65,65,,3,
2021-12-07T08:30:00-05:00,United States,Balance of Trade,balance of trade,OCT,$-67.1B,$-81.4B,$-66.8B,$-66B,®,3,
2021-12-08T10:00:00-05:00,United States,JOLTs Job Openings,job offers,OCT,11M,10.602M,10.369M,10.4M,®,3,
2021-12-10T08:30:00-05:00,United States,Core Inflation Rate YoY,core inflation rate,NOV,4.9%,4.6%,4.9%,4.9%,,3,
2021-12-10T08:30:00-05:00,United States,Inflation Rate YoY,inflation rate,NOV,6.8%,6.2%,6.8%,6.9%,,3,
2021-12-10T10:00:00-05:00,United States,Michigan Consumer Sentiment Prel,consumer confidence,DEC,70.4,67.4,67.1,67,,3,
2021-12-15T08:30:00-05:00,United States,Retail Sales MoM,retail sales mom,NOV,0.3%,1.8%,0.8%,1%,®,3,
2021-12-15T14:30:00-05:00,United States,Fed Press Conference,interest rate,,,,,,,3,
2021-12-16T08:30:00-05:00,United States,Building Permits,building permits,NOV,1.712M,1.653M,1.663M,1.63M,,3,
2021-12-16T09:45:00-05:00,United States,Markit Manufacturing PMI Flash,manufacturing pmi,DEC,57.8,58.3,58.5,58.5,,3,
2021-12-16T09:45:00-05:00,United States,Markit Services PMI Flash,services pmi,DEC,57.5,58,58.5,58.2,,3,
2021-12-23T08:30:00-05:00,United States,Durable Goods Orders MoM,durable goods orders,NOV,2.5%,0.1%,1.6%,1.1%,®,3,
2021-12-23T08:30:00-05:00,United States,Personal Income MoM,personal income,NOV,0.4%,0.5%,0.4%,0.3%,,3,
2021-12-23T08:30:00-05:00,United States,Personal Spending MoM,personal spending,NOV,0.6%,1.4%,0.6%,0.5%,®,3,
