event_time,country,event,source_event_type,reference,actual,previous,consensus,te_forecast,revised,importance,symbol,source_url
2021-09-02T08:30:00-04:00,United States,Balance of Trade,balance of trade,JUL,$-70B,$-73.2B,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2021-09-01&end=2021-10-01
2021-09-03T08:30:00-04:00,United States,Non Farm Payrolls,non farm payrolls,AUG,235K,1053K,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2021-09-01&end=2021-10-01
2021-09-14T08:30:00-04:00,United States,Core Inflation Rate YoY,core inflation rate,AUG,4%,4.3%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2021-09-01&end=2021-10-01
2021-09-14T08:30:00-04:00,United States,Inflation Rate YoY,inflation rate,AUG,5.3%,5.4%,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2021-09-01&end=2021-10-01
2021-09-16T08:30:00-04:00,United States,Retail Sales MoM,retail sales mom,AUG,0.7%,-1.8%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2021-09-01&end=2021-10-01
2021-09-22T14:30:00-04:00,United States,Fed Press Conference,interest rate,,,,,,,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2021-09-01&end=2021-10-01
2021-09-27T08:30:00-04:00,United States,Durable Goods Orders MoM,durable goods orders,AUG,1.8%,0.5%,,,®,3,,https://tradingeconomics.com/united-states/calendar?importance=3&start=2021-09-01&end=2021-10-01
